country,indicator,value
Brazil,current_account,-2.204252071424942
Brazil,external_debt,32.77033995402566
Brazil,gdp_growth,1.726359649365764
Brazil,inflation,5.8240145836920405
Brazil,reserves_months,11.221928175405488
Colombia,current_account,-4.433108547679172
Colombia,external_debt,53.306557061318905
Colombia,gdp_growth,2.9402865795354964
Colombia,inflation,6.291569550348302
Colombia,reserves_months,8.10441634912478
Mexico,current_account,0.05076050867240761
Mexico,external_debt,45.50794905816288
Mexico,gdp_growth,0.8381701246664814
Mexico,inflation,5.229248223727488
Mexico,reserves_months,3.984187125266316
Peru,current_account,-0.9747297844813299
Peru,external_debt,36.4944471232963
Peru,gdp_growth,1.3675745372666683
Peru,inflation,4.663103514239868
Peru,reserves_months,12.586684881204382
